,broodYr,dist,stream,fwAge,oAge,return,retYr,System,StreamID,DistrictID_alternate,dist_name
44,1955,324,4,2,1,13.559,1959,Kvichak,100,2,Naknek-Kvichak
45,1956,324,4,2,1,0,1960,Kvichak,100,2,Naknek-Kvichak
46,1957,324,4,2,1,0,1961,Kvichak,100,2,Naknek-Kvichak
47,1958,324,4,2,1,0.33,1962,Kvichak,100,2,Naknek-Kvichak
48,1950,324,4,0,4,0,1955,Kvichak,100,2,Naknek-Kvichak
49,1951,324,4,0,4,0,1956,Kvichak,100,2,Naknek-Kvichak
50,1952,324,4,0,4,0,1957,Kvichak,100,2,Naknek-Kvichak
51,1953,324,4,0,4,0,1958,Kvichak,100,2,Naknek-Kvichak
52,1954,324,4,0,4,0,1959,Kvichak,100,2,Naknek-Kvichak
53,1955,324,4,0,4,0,1960,Kvichak,100,2,Naknek-Kvichak
54,1956,324,4,0,4,0,1961,Kvichak,100,2,Naknek-Kvichak
55,1957,324,4,0,4,0,1962,Kvichak,100,2,Naknek-Kvichak
56,1950,324,4,1,3,0,1955,Kvichak,100,2,Naknek-Kvichak
57,1951,324,4,1,3,221,1956,Kvichak,100,2,Naknek-Kvichak
58,1952,324,4,1,3,6681,1957,Kvichak,100,2,Naknek-Kvichak
59,1953,324,4,1,3,62,1958,Kvichak,100,2,Naknek-Kvichak
60,1954,324,4,1,3,29,1959,Kvichak,100,2,Naknek-Kvichak
61,1955,324,4,1,3,100,1960,Kvichak,100,2,Naknek-Kvichak
62,1956,324,4,1,3,6968,1961,Kvichak,100,2,Naknek-Kvichak
63,1957,324,4,1,3,244,1962,Kvichak,100,2,Naknek-Kvichak
64,1950,324,4,2,2,0,1955,Kvichak,100,2,Naknek-Kvichak
65,1951,324,4,2,2,3377,1956,Kvichak,100,2,Naknek-Kvichak
66,1952,324,4,2,2,2956,1957,Kvichak,100,2,Naknek-Kvichak
67,1953,324,4,2,2,365,1958,Kvichak,100,2,Naknek-Kvichak
68,1954,324,4,2,2,638,1959,Kvichak,100,2,Naknek-Kvichak
69,1955,324,4,2,2,588,1960,Kvichak,100,2,Naknek-Kvichak
70,1956,324,4,2,2,6472,1961,Kvichak,100,2,Naknek-Kvichak
71,1957,324,4,2,2,3333,1962,Kvichak,100,2,Naknek-Kvichak
72,1950,324,4,3,1,0,1955,Kvichak,100,2,Naknek-Kvichak
73,1951,324,4,3,1,0,1956,Kvichak,100,2,Naknek-Kvichak
74,1952,324,4,3,1,0,1957,Kvichak,100,2,Naknek-Kvichak
75,1953,324,4,3,1,0,1958,Kvichak,100,2,Naknek-Kvichak
76,1954,324,4,3,1,0,1959,Kvichak,100,2,Naknek-Kvichak
77,1955,324,4,3,1,0,1960,Kvichak,100,2,Naknek-Kvichak
78,1956,324,4,3,1,0,1961,Kvichak,100,2,Naknek-Kvichak
79,1957,324,4,3,1,0,1962,Kvichak,100,2,Naknek-Kvichak
80,1950,324,4,0,5,0,1956,Kvichak,100,2,Naknek-Kvichak
81,1951,324,4,0,5,0,1957,Kvichak,100,2,Naknek-Kvichak
82,1952,324,4,0,5,0,1958,Kvichak,100,2,Naknek-Kvichak
83,1953,324,4,0,5,0,1959,Kvichak,100,2,Naknek-Kvichak
84,1954,324,4,0,5,0,1960,Kvichak,100,2,Naknek-Kvichak
85,1955,324,4,0,5,0,1961,Kvichak,100,2,Naknek-Kvichak
86,1956,324,4,0,5,0,1962,Kvichak,100,2,Naknek-Kvichak
87,1950,324,4,1,4,0,1956,Kvichak,100,2,Naknek-Kvichak
88,1951,324,4,1,4,0,1957,Kvichak,100,2,Naknek-Kvichak
89,1952,324,4,1,4,0,1958,Kvichak,100,2,Naknek-Kvichak
90,1953,324,4,1,4,0,1959,Kvichak,100,2,Naknek-Kvichak
91,1954,324,4,1,4,0,1960,Kvichak,100,2,Naknek-Kvichak
92,1955,324,4,1,4,0,1961,Kvichak,100,2,Naknek-Kvichak
93,1956,324,4,1,4,0,1962,Kvichak,100,2,Naknek-Kvichak
94,1950,324,4,2,3,248,1956,Kvichak,100,2,Naknek-Kvichak
95,1951,324,4,2,3,983,1957,Kvichak,100,2,Naknek-Kvichak
96,1952,324,4,2,3,654,1958,Kvichak,100,2,Naknek-Kvichak
97,1953,324,4,2,3,60,1959,Kvichak,100,2,Naknek-Kvichak
98,1954,324,4,2,3,0,1960,Kvichak,100,2,Naknek-Kvichak
99,1955,324,4,2,3,531,1961,Kvichak,100,2,Naknek-Kvichak
100,1956,324,4,2,3,1308,1962,Kvichak,100,2,Naknek-Kvichak
101,1950,324,4,3,2,0,1956,Kvichak,100,2,Naknek-Kvichak
102,1951,324,4,3,2,0,1957,Kvichak,100,2,Naknek-Kvichak
103,1952,324,4,3,2,1,1958,Kvichak,100,2,Naknek-Kvichak
104,1953,324,4,3,2,0,1959,Kvichak,100,2,Naknek-Kvichak
105,1954,324,4,3,2,0,1960,Kvichak,100,2,Naknek-Kvichak
106,1955,324,4,3,2,20,1961,Kvichak,100,2,Naknek-Kvichak
107,1956,324,4,3,2,0,1962,Kvichak,100,2,Naknek-Kvichak
108,1950,324,4,1,5,0,1957,Kvichak,100,2,Naknek-Kvichak
109,1951,324,4,1,5,0,1958,Kvichak,100,2,Naknek-Kvichak
110,1952,324,4,1,5,0,1959,Kvichak,100,2,Naknek-Kvichak
111,1953,324,4,1,5,0,1960,Kvichak,100,2,Naknek-Kvichak
112,1954,324,4,1,5,0,1961,Kvichak,100,2,Naknek-Kvichak
113,1955,324,4,1,5,0,1962,Kvichak,100,2,Naknek-Kvichak
114,1950,324,4,2,4,0,1957,Kvichak,100,2,Naknek-Kvichak
115,1951,324,4,2,4,1,1958,Kvichak,100,2,Naknek-Kvichak
116,1952,324,4,2,4,0,1959,Kvichak,100,2,Naknek-Kvichak
117,1953,324,4,2,4,0,1960,Kvichak,100,2,Naknek-Kvichak
118,1954,324,4,2,4,0,1961,Kvichak,100,2,Naknek-Kvichak
119,1955,324,4,2,4,0,1962,Kvichak,100,2,Naknek-Kvichak
120,1950,324,4,3,3,0,1957,Kvichak,100,2,Naknek-Kvichak
121,1951,324,4,3,3,0,1958,Kvichak,100,2,Naknek-Kvichak
122,1952,324,4,3,3,1,1959,Kvichak,100,2,Naknek-Kvichak
123,1953,324,4,3,3,0,1960,Kvichak,100,2,Naknek-Kvichak
124,1954,324,4,3,3,29,1961,Kvichak,100,2,Naknek-Kvichak
125,1955,324,4,3,3,0,1962,Kvichak,100,2,Naknek-Kvichak
126,1950,324,6,0,2,0,1953,Alagnak,500,2,Naknek-Kvichak
127,1951,324,6,0,2,0,1954,Alagnak,500,2,Naknek-Kvichak
128,1952,324,6,0,2,0,1955,Alagnak,500,2,Naknek-Kvichak
129,1953,324,6,0,2,0,1956,Alagnak,500,2,Naknek-Kvichak
130,1954,324,6,0,2,0,1957,Alagnak,500,2,Naknek-Kvichak
131,1955,324,6,0,2,0,1958,Alagnak,500,2,Naknek-Kvichak
132,1956,324,6,0,2,5,1959,Alagnak,500,2,Naknek-Kvichak
133,1957,324,6,0,2,0,1960,Alagnak,500,2,Naknek-Kvichak
134,1958,324,6,0,2,0,1961,Alagnak,500,2,Naknek-Kvichak
135,1959,324,6,0,2,0,1962,Alagnak,500,2,Naknek-Kvichak
136,1950,324,6,1,1,0,1953,Alagnak,500,2,Naknek-Kvichak
137,1951,324,6,1,1,0,1954,Alagnak,500,2,Naknek-Kvichak
138,1952,324,6,1,1,0,1955,Alagnak,500,2,Naknek-Kvichak
139,1953,324,6,1,1,0,1956,Alagnak,500,2,Naknek-Kvichak
140,1954,324,6,1,1,0,1957,Alagnak,500,2,Naknek-Kvichak
141,1955,324,6,1,1,0,1958,Alagnak,500,2,Naknek-Kvichak
142,1956,324,6,1,1,0,1959,Alagnak,500,2,Naknek-Kvichak
143,1957,324,6,1,1,0,1960,Alagnak,500,2,Naknek-Kvichak
144,1958,324,6,1,1,0,1961,Alagnak,500,2,Naknek-Kvichak
145,1959,324,6,1,1,0,1962,Alagnak,500,2,Naknek-Kvichak
146,1950,324,6,0,3,0,1954,Alagnak,500,2,Naknek-Kvichak
147,1951,324,6,0,3,0,1955,Alagnak,500,2,Naknek-Kvichak
148,1952,324,6,0,3,0,1956,Alagnak,500,2,Naknek-Kvichak
149,1953,324,6,0,3,0,1957,Alagnak,500,2,Naknek-Kvichak
150,1954,324,6,0,3,0,1958,Alagnak,500,2,Naknek-Kvichak
151,1955,324,6,0,3,0,1959,Alagnak,500,2,Naknek-Kvichak
152,1956,324,6,0,3,0,1960,Alagnak,500,2,Naknek-Kvichak
153,1957,324,6,0,3,0,1961,Alagnak,500,2,Naknek-Kvichak
154,1958,324,6,0,3,0,1962,Alagnak,500,2,Naknek-Kvichak
155,1950,324,6,1,2,0,1954,Alagnak,500,2,Naknek-Kvichak
156,1951,324,6,1,2,0,1955,Alagnak,500,2,Naknek-Kvichak
157,1952,324,6,1,2,383,1956,Alagnak,500,2,Naknek-Kvichak
158,1953,324,6,1,2,5,1957,Alagnak,500,2,Naknek-Kvichak
159,1954,324,6,1,2,14,1958,Alagnak,500,2,Naknek-Kvichak
160,1955,324,6,1,2,788,1959,Alagnak,500,2,Naknek-Kvichak
161,1956,324,6,1,2,1885,1960,Alagnak,500,2,Naknek-Kvichak
162,1957,324,6,1,2,5,1961,Alagnak,500,2,Naknek-Kvichak
163,1958,324,6,1,2,43,1962,Alagnak,500,2,Naknek-Kvichak
164,1950,324,6,2,1,0,1954,Alagnak,500,2,Naknek-Kvichak
165,1951,324,6,2,1,0,1955,Alagnak,500,2,Naknek-Kvichak
166,1952,324,6,2,1,0,1956,Alagnak,500,2,Naknek-Kvichak
167,1953,324,6,2,1,0,1957,Alagnak,500,2,Naknek-Kvichak
168,1954,324,6,2,1,2.93,1958,Alagnak,500,2,Naknek-Kvichak
169,1955,324,6,2,1,0,1959,Alagnak,500,2,Naknek-Kvichak
170,1956,324,6,2,1,0,1960,Alagnak,500,2,Naknek-Kvichak
171,1957,324,6,2,1,0,1961,Alagnak,500,2,Naknek-Kvichak
172,1958,324,6,2,1,0,1962,Alagnak,500,2,Naknek-Kvichak
173,1950,324,6,0,4,0,1955,Alagnak,500,2,Naknek-Kvichak
174,1951,324,6,0,4,0,1956,Alagnak,500,2,Naknek-Kvichak
175,1952,324,6,0,4,0,1957,Alagnak,500,2,Naknek-Kvichak
176,1953,324,6,0,4,0,1958,Alagnak,500,2,Naknek-Kvichak
177,1954,324,6,0,4,0,1959,Alagnak,500,2,Naknek-Kvichak
178,1955,324,6,0,4,0,1960,Alagnak,500,2,Naknek-Kvichak
179,1956,324,6,0,4,0,1961,Alagnak,500,2,Naknek-Kvichak
180,1957,324,6,0,4,0,1962,Alagnak,500,2,Naknek-Kvichak
181,1950,324,6,1,3,0,1955,Alagnak,500,2,Naknek-Kvichak
182,1951,324,6,1,3,294,1956,Alagnak,500,2,Naknek-Kvichak
183,1952,324,6,1,3,295,1957,Alagnak,500,2,Naknek-Kvichak
184,1953,324,6,1,3,11,1958,Alagnak,500,2,Naknek-Kvichak
185,1954,324,6,1,3,109,1959,Alagnak,500,2,Naknek-Kvichak
186,1955,324,6,1,3,237,1960,Alagnak,500,2,Naknek-Kvichak
187,1956,324,6,1,3,459,1961,Alagnak,500,2,Naknek-Kvichak
188,1957,324,6,1,3,23,1962,Alagnak,500,2,Naknek-Kvichak
189,1950,324,6,2,2,0,1955,Alagnak,500,2,Naknek-Kvichak
190,1951,324,6,2,2,343,1956,Alagnak,500,2,Naknek-Kvichak
191,1952,324,6,2,2,131,1957,Alagnak,500,2,Naknek-Kvichak
192,1953,324,6,2,2,64,1958,Alagnak,500,2,Naknek-Kvichak
193,1954,324,6,2,2,392,1959,Alagnak,500,2,Naknek-Kvichak
194,1955,324,6,2,2,26,1960,Alagnak,500,2,Naknek-Kvichak
195,1956,324,6,2,2,0,1961,Alagnak,500,2,Naknek-Kvichak
196,1957,324,6,2,2,43,1962,Alagnak,500,2,Naknek-Kvichak
197,1950,324,6,3,1,0,1955,Alagnak,500,2,Naknek-Kvichak
198,1951,324,6,3,1,0,1956,Alagnak,500,2,Naknek-Kvichak
199,1952,324,6,3,1,0,1957,Alagnak,500,2,Naknek-Kvichak
200,1953,324,6,3,1,0,1958,Alagnak,500,2,Naknek-Kvichak
201,1954,324,6,3,1,0,1959,Alagnak,500,2,Naknek-Kvichak
202,1955,324,6,3,1,0,1960,Alagnak,500,2,Naknek-Kvichak
203,1956,324,6,3,1,0,1961,Alagnak,500,2,Naknek-Kvichak
204,1957,324,6,3,1,0,1962,Alagnak,500,2,Naknek-Kvichak
205,1950,324,6,0,5,0,1956,Alagnak,500,2,Naknek-Kvichak
206,1951,324,6,0,5,0,1957,Alagnak,500,2,Naknek-Kvichak
207,1952,324,6,0,5,0,1958,Alagnak,500,2,Naknek-Kvichak
208,1953,324,6,0,5,0,1959,Alagnak,500,2,Naknek-Kvichak
209,1954,324,6,0,5,0,1960,Alagnak,500,2,Naknek-Kvichak
210,1955,324,6,0,5,0,1961,Alagnak,500,2,Naknek-Kvichak
211,1956,324,6,0,5,0,1962,Alagnak,500,2,Naknek-Kvichak
212,1950,324,6,1,4,0,1956,Alagnak,500,2,Naknek-Kvichak
213,1951,324,6,1,4,0,1957,Alagnak,500,2,Naknek-Kvichak
214,1952,324,6,1,4,0,1958,Alagnak,500,2,Naknek-Kvichak
215,1953,324,6,1,4,0,1959,Alagnak,500,2,Naknek-Kvichak
216,1954,324,6,1,4,0,1960,Alagnak,500,2,Naknek-Kvichak
217,1955,324,6,1,4,0,1961,Alagnak,500,2,Naknek-Kvichak
218,1956,324,6,1,4,0,1962,Alagnak,500,2,Naknek-Kvichak
219,1950,324,6,2,3,262,1956,Alagnak,500,2,Naknek-Kvichak
220,1951,324,6,2,3,43,1957,Alagnak,500,2,Naknek-Kvichak
221,1952,324,6,2,3,115,1958,Alagnak,500,2,Naknek-Kvichak
222,1953,324,6,2,3,0,1959,Alagnak,500,2,Naknek-Kvichak
223,1954,324,6,2,3,141,1960,Alagnak,500,2,Naknek-Kvichak
224,1955,324,6,2,3,44,1961,Alagnak,500,2,Naknek-Kvichak
225,1956,324,6,2,3,38,1962,Alagnak,500,2,Naknek-Kvichak
226,1950,324,6,3,2,0,1956,Alagnak,500,2,Naknek-Kvichak
227,1951,324,6,3,2,0,1957,Alagnak,500,2,Naknek-Kvichak
228,1952,324,6,3,2,0,1958,Alagnak,500,2,Naknek-Kvichak
229,1953,324,6,3,2,0,1959,Alagnak,500,2,Naknek-Kvichak
230,1954,324,6,3,2,0,1960,Alagnak,500,2,Naknek-Kvichak
231,1955,324,6,3,2,0,1961,Alagnak,500,2,Naknek-Kvichak
232,1956,324,6,3,2,3,1962,Alagnak,500,2,Naknek-Kvichak
233,1950,324,6,1,5,0,1957,Alagnak,500,2,Naknek-Kvichak
234,1951,324,6,1,5,0,1958,Alagnak,500,2,Naknek-Kvichak
235,1952,324,6,1,5,0,1959,Alagnak,500,2,Naknek-Kvichak
236,1953,324,6,1,5,0,1960,Alagnak,500,2,Naknek-Kvichak
237,1954,324,6,1,5,0,1961,Alagnak,500,2,Naknek-Kvichak
238,1955,324,6,1,5,0,1962,Alagnak,500,2,Naknek-Kvichak
239,1950,324,6,2,4,0,1957,Alagnak,500,2,Naknek-Kvichak
240,1951,324,6,2,4,0,1958,Alagnak,500,2,Naknek-Kvichak
241,1952,324,6,2,4,0,1959,Alagnak,500,2,Naknek-Kvichak
242,1953,324,6,2,4,0,1960,Alagnak,500,2,Naknek-Kvichak
243,1954,324,6,2,4,0,1961,Alagnak,500,2,Naknek-Kvichak
244,1955,324,6,2,4,0,1962,Alagnak,500,2,Naknek-Kvichak
245,1950,324,6,3,3,0,1957,Alagnak,500,2,Naknek-Kvichak
246,1951,324,6,3,3,0,1958,Alagnak,500,2,Naknek-Kvichak
247,1952,324,6,3,3,1,1959,Alagnak,500,2,Naknek-Kvichak
248,1953,324,6,3,3,0,1960,Alagnak,500,2,Naknek-Kvichak
249,1954,324,6,3,3,1,1961,Alagnak,500,2,Naknek-Kvichak
250,1955,324,6,3,3,0,1962,Alagnak,500,2,Naknek-Kvichak
251,1950,324,5,0,2,0,1953,Naknek,600,2,Naknek-Kvichak
252,1951,324,5,0,2,0,1954,Naknek,600,2,Naknek-Kvichak
253,1952,324,5,0,2,0,1955,Naknek,600,2,Naknek-Kvichak
254,1953,324,5,0,2,0,1956,Naknek,600,2,Naknek-Kvichak
255,1954,324,5,0,2,0,1957,Naknek,600,2,Naknek-Kvichak
256,1955,324,5,0,2,0,1958,Naknek,600,2,Naknek-Kvichak
257,1956,324,5,0,2,0,1959,Naknek,600,2,Naknek-Kvichak
258,1957,324,5,0,2,0,1960,Naknek,600,2,Naknek-Kvichak
259,1958,324,5,0,2,0,1961,Naknek,600,2,Naknek-Kvichak
260,1959,324,5,0,2,0,1962,Naknek,600,2,Naknek-Kvichak
261,1950,324,5,1,1,0,1953,Naknek,600,2,Naknek-Kvichak
262,1951,324,5,1,1,0,1954,Naknek,600,2,Naknek-Kvichak
263,1952,324,5,1,1,0,1955,Naknek,600,2,Naknek-Kvichak
264,1953,324,5,1,1,0,1956,Naknek,600,2,Naknek-Kvichak
265,1954,324,5,1,1,0,1957,Naknek,600,2,Naknek-Kvichak
266,1955,324,5,1,1,0,1958,Naknek,600,2,Naknek-Kvichak
267,1956,324,5,1,1,1.134,1959,Naknek,600,2,Naknek-Kvichak
268,1957,324,5,1,1,0,1960,Naknek,600,2,Naknek-Kvichak
269,1958,324,5,1,1,0,1961,Naknek,600,2,Naknek-Kvichak
270,1959,324,5,1,1,0.495,1962,Naknek,600,2,Naknek-Kvichak
271,1950,324,5,0,3,0,1954,Naknek,600,2,Naknek-Kvichak
272,1951,324,5,0,3,0,1955,Naknek,600,2,Naknek-Kvichak
273,1952,324,5,0,3,0,1956,Naknek,600,2,Naknek-Kvichak
274,1953,324,5,0,3,0,1957,Naknek,600,2,Naknek-Kvichak
275,1954,324,5,0,3,0,1958,Naknek,600,2,Naknek-Kvichak
276,1955,324,5,0,3,0,1959,Naknek,600,2,Naknek-Kvichak
277,1956,324,5,0,3,0,1960,Naknek,600,2,Naknek-Kvichak
278,1957,324,5,0,3,0,1961,Naknek,600,2,Naknek-Kvichak
279,1958,324,5,0,3,0,1962,Naknek,600,2,Naknek-Kvichak
280,1950,324,5,1,2,0,1954,Naknek,600,2,Naknek-Kvichak
281,1951,324,5,1,2,0,1955,Naknek,600,2,Naknek-Kvichak
282,1952,324,5,1,2,79,1956,Naknek,600,2,Naknek-Kvichak
283,1953,324,5,1,2,24,1957,Naknek,600,2,Naknek-Kvichak
284,1954,324,5,1,2,85,1958,Naknek,600,2,Naknek-Kvichak
285,1955,324,5,1,2,720,1959,Naknek,600,2,Naknek-Kvichak
286,1956,324,5,1,2,473,1960,Naknek,600,2,Naknek-Kvichak
287,1957,324,5,1,2,53,1961,Naknek,600,2,Naknek-Kvichak
288,1958,324,5,1,2,112,1962,Naknek,600,2,Naknek-Kvichak
289,1950,324,5,2,1,0,1954,Naknek,600,2,Naknek-Kvichak
290,1951,324,5,2,1,0,1955,Naknek,600,2,Naknek-Kvichak
291,1952,324,5,2,1,0,1956,Naknek,600,2,Naknek-Kvichak
292,1953,324,5,2,1,0,1957,Naknek,600,2,Naknek-Kvichak
293,1954,324,5,2,1,18.861,1958,Naknek,600,2,Naknek-Kvichak
294,1955,324,5,2,1,1.34,1959,Naknek,600,2,Naknek-Kvichak
295,1956,324,5,2,1,0,1960,Naknek,600,2,Naknek-Kvichak
296,1957,324,5,2,1,1.815,1961,Naknek,600,2,Naknek-Kvichak
297,1958,324,5,2,1,4.092,1962,Naknek,600,2,Naknek-Kvichak
298,1950,324,5,0,4,0,1955,Naknek,600,2,Naknek-Kvichak
299,1951,324,5,0,4,0,1956,Naknek,600,2,Naknek-Kvichak
300,1952,324,5,0,4,0,1957,Naknek,600,2,Naknek-Kvichak
301,1953,324,5,0,4,0,1958,Naknek,600,2,Naknek-Kvichak
302,1954,324,5,0,4,0,1959,Naknek,600,2,Naknek-Kvichak
303,1955,324,5,0,4,0,1960,Naknek,600,2,Naknek-Kvichak
304,1956,324,5,0,4,0,1961,Naknek,600,2,Naknek-Kvichak
305,1957,324,5,0,4,0,1962,Naknek,600,2,Naknek-Kvichak
306,1950,324,5,1,3,0,1955,Naknek,600,2,Naknek-Kvichak
307,1951,324,5,1,3,1295,1956,Naknek,600,2,Naknek-Kvichak
308,1952,324,5,1,3,1199,1957,Naknek,600,2,Naknek-Kvichak
309,1953,324,5,1,3,135,1958,Naknek,600,2,Naknek-Kvichak
310,1954,324,5,1,3,302,1959,Naknek,600,2,Naknek-Kvichak
311,1955,324,5,1,3,820,1960,Naknek,600,2,Naknek-Kvichak
312,1956,324,5,1,3,1701,1961,Naknek,600,2,Naknek-Kvichak
313,1957,324,5,1,3,329,1962,Naknek,600,2,Naknek-Kvichak
314,1950,324,5,2,2,0,1955,Naknek,600,2,Naknek-Kvichak
315,1951,324,5,2,2,688,1956,Naknek,600,2,Naknek-Kvichak
316,1952,324,5,2,2,108,1957,Naknek,600,2,Naknek-Kvichak
317,1953,324,5,2,2,177,1958,Naknek,600,2,Naknek-Kvichak
318,1954,324,5,2,2,2129,1959,Naknek,600,2,Naknek-Kvichak
319,1955,324,5,2,2,214,1960,Naknek,600,2,Naknek-Kvichak
320,1956,324,5,2,2,3,1961,Naknek,600,2,Naknek-Kvichak
321,1957,324,5,2,2,505,1962,Naknek,600,2,Naknek-Kvichak
322,1950,324,5,3,1,0,1955,Naknek,600,2,Naknek-Kvichak
323,1951,324,5,3,1,0,1956,Naknek,600,2,Naknek-Kvichak
324,1952,324,5,3,1,0,1957,Naknek,600,2,Naknek-Kvichak
325,1953,324,5,3,1,2.92,1958,Naknek,600,2,Naknek-Kvichak
326,1954,324,5,3,1,0,1959,Naknek,600,2,Naknek-Kvichak
327,1955,324,5,3,1,0,1960,Naknek,600,2,Naknek-Kvichak
328,1956,324,5,3,1,0,1961,Naknek,600,2,Naknek-Kvichak
329,1957,324,5,3,1,0.346,1962,Naknek,600,2,Naknek-Kvichak
330,1950,324,5,0,5,0,1956,Naknek,600,2,Naknek-Kvichak
331,1951,324,5,0,5,0,1957,Naknek,600,2,Naknek-Kvichak
332,1952,324,5,0,5,0,1958,Naknek,600,2,Naknek-Kvichak
333,1953,324,5,0,5,0,1959,Naknek,600,2,Naknek-Kvichak
334,1954,324,5,0,5,0,1960,Naknek,600,2,Naknek-Kvichak
335,1955,324,5,0,5,0,1961,Naknek,600,2,Naknek-Kvichak
336,1956,324,5,0,5,0,1962,Naknek,600,2,Naknek-Kvichak
337,1950,324,5,1,4,0,1956,Naknek,600,2,Naknek-Kvichak
338,1951,324,5,1,4,0,1957,Naknek,600,2,Naknek-Kvichak
339,1952,324,5,1,4,7,1958,Naknek,600,2,Naknek-Kvichak
340,1953,324,5,1,4,0,1959,Naknek,600,2,Naknek-Kvichak
341,1954,324,5,1,4,0,1960,Naknek,600,2,Naknek-Kvichak
342,1955,324,5,1,4,0,1961,Naknek,600,2,Naknek-Kvichak
343,1956,324,5,1,4,17,1962,Naknek,600,2,Naknek-Kvichak
344,1950,324,5,2,3,1093,1956,Naknek,600,2,Naknek-Kvichak
345,1951,324,5,2,3,1250,1957,Naknek,600,2,Naknek-Kvichak
346,1952,324,5,2,3,176,1958,Naknek,600,2,Naknek-Kvichak
347,1953,324,5,2,3,206,1959,Naknek,600,2,Naknek-Kvichak
348,1954,324,5,2,3,587,1960,Naknek,600,2,Naknek-Kvichak
349,1955,324,5,2,3,88,1961,Naknek,600,2,Naknek-Kvichak
350,1956,324,5,2,3,304,1962,Naknek,600,2,Naknek-Kvichak
351,1950,324,5,3,2,0,1956,Naknek,600,2,Naknek-Kvichak
352,1951,324,5,3,2,0,1957,Naknek,600,2,Naknek-Kvichak
353,1952,324,5,3,2,1,1958,Naknek,600,2,Naknek-Kvichak
354,1953,324,5,3,2,42,1959,Naknek,600,2,Naknek-Kvichak
355,1954,324,5,3,2,0,1960,Naknek,600,2,Naknek-Kvichak
356,1955,324,5,3,2,2,1961,Naknek,600,2,Naknek-Kvichak
357,1956,324,5,3,2,0,1962,Naknek,600,2,Naknek-Kvichak
358,1950,324,5,1,5,0,1957,Naknek,600,2,Naknek-Kvichak
